decision,evaluated,operator,q,null,accepted,candidate_score,current_score,best_score,w_random,w_worst,w_shaw
159,142,1,11,0,0,412.9195528530509,382.0118027033879,374.64879271711806,1.3895364155844159,1.0957214945054947,1.161723497835498
160,142,0,9,1,0,,382.0118027033879,374.64879271711806,,,
161,143,2,9,0,0,384.4642097069661,382.0118027033879,374.64879271711806,1.3895364155844159,1.0957214945054947,1.161723497835498
162,144,0,12,0,0,402.5221986160655,382.0118027033879,374.64879271711806,1.3895364155844159,1.0957214945054947,1.161723497835498
163,145,0,10,0,0,398.0452252578742,382.0118027033879,374.64879271711806,1.3895364155844159,1.0957214945054947,1.161723497835498
164,146,0,9,0,1,382.7539830608298,382.7539830608298,374.64879271711806,1.3895364155844159,1.0957214945054947,1.161723497835498
165,146,1,11,1,0,,382.7539830608298,374.64879271711806,,,
166,146,2,8,1,0,,382.7539830608298,374.64879271711806,,,
167,147,2,9,0,1,381.61854096871735,381.61854096871735,374.64879271711806,1.3895364155844159,1.0957214945054947,1.161723497835498
168,148,0,9,0,1,381.13528712732693,381.13528712732693,374.64879271711806,1.3895364155844159,1.0957214945054947,1.161723497835498
169,149,2,11,0,0,385.49768955276744,381.13528712732693,374.64879271711806,1.3895364155844159,1.0957214945054947,1.161723497835498
170,150,0,10,0,0,400.3051937356364,381.13528712732693,374.64879271711806,1.3895364155844159,1.0957214945054947,1.161723497835498
171,151,2,12,0,0,391.2399099323701,381.13528712732693,374.64879271711806,1.3895364155844159,1.0957214945054947,1.161723497835498
172,152,0,12,0,0,388.8610216859769,381.13528712732693,374.64879271711806,1.3895364155844159,1.0957214945054947,1.161723497835498
173,153,0,11,0,1,382.24114096800395,382.24114096800395,374.64879271711806,1.3895364155844159,1.0957214945054947,1.161723497835498
174,154,1,11,0,0,404.20510830973745,382.24114096800395,374.64879271711806,1.3895364155844159,1.0957214945054947,1.161723497835498
175,155,0,9,0,0,404.0619002792924,382.24114096800395,374.64879271711806,1.3895364155844159,1.0957214945054947,1.161723497835498
176,156,0,11,0,1,382.7700209405204,382.7700209405204,374.64879271711806,1.23890185974026,1.076577195604396,1.1516010204906206
177,157,1,12,0,0,392.85024678841575,382.7700209405204,374.64879271711806,1.23890185974026,1.076577195604396,1.1516010204906206
178,158,2,10,0,0,392.7502467884157,382.7700209405204,374.64879271711806,1.23890185974026,1.076577195604396,1.1516010204906206
179,159,2,11,0,1,382.5178514865206,382.5178514865206,374.64879271711806,1.23890185974026,1.076577195604396,1.1516010204906206
180,160,1,11,0,0,441.9872512990085,382.5178514865206,374.64879271711806,1.23890185974026,1.076577195604396,1.1516010204906206
181,161,0,12,0,0,393.0809734360654,382.5178514865206,374.64879271711806,1.23890185974026,1.076577195604396,1.1516010204906206
182,162,0,10,0,1,383.7472301392826,383.7472301392826,374.64879271711806,1.23890185974026,1.076577195604396,1.1516010204906206
183,163,0,11,0,1,382.68845221775797,382.68845221775797,374.64879271711806,1.23890185974026,1.076577195604396,1.1516010204906206
184,164,0,11,0,0,403.6292762319263,382.68845221775797,374.64879271711806,1.23890185974026,1.076577195604396,1.1516010204906206
185,165,2,9,0,0,411.0633797778165,382.68845221775797,374.64879271711806,1.23890185974026,1.076577195604396,1.1516010204906206
186,166,0,12,0,1,382.08845221775795,382.08845221775795,374.64879271711806,1.23890185974026,1.076577195604396,1.1516010204906206
187,167,0,9,0,1,381.537192923672,381.537192923672,374.64879271711806,1.23890185974026,1.076577195604396,1.1516010204906206
188,168,2,11,0,0,417.73598043773603,381.537192923672,374.64879271711806,1.23890185974026,1.076577195604396,1.1516010204906206
189,168,2,9,1,0,,381.537192923672,374.64879271711806,,,
190,169,0,9,0,0,388.0156316565762,381.537192923672,374.64879271711806,1.23890185974026,1.076577195604396,1.1516010204906206
191,170,1,10,0,0,429.06800810365326,381.537192923672,374.64879271711806,1.23890185974026,1.076577195604396,1.1516010204906206
192,171,0,12,0,1,382.13719292367205,382.13719292367205,374.64879271711806,1.23890185974026,1.076577195604396,1.1516010204906206
193,172,1,10,0,1,381.537192923672,381.537192923672,374.64879271711806,1.23890185974026,1.076577195604396,1.1516010204906206
194,173,0,12,0,0,400.43256154098344,381.537192923672,374.64879271711806,1.23890185974026,1.076577195604396,1.1516010204906206
195,174,2,9,0,0,388.1760675259438,381.537192923672,374.64879271711806,1.23890185974026,1.076577195604396,1.1516010204906206
196,175,0,9,0,0,442.4095807426999,381.537192923672,374.64879271711806,1.23890185974026,1.076577195604396,1.1516010204906206
197,176,1,12,0,0,386.7896817518999,381.537192923672,374.64879271711806,1.23890185974026,1.076577195604396,1.1516010204906206
198,176,0,12,1,0,,381.537192923672,374.64879271711806,,,
199,177,2,9,0,0,405.4280474555949,381.537192923672,374.64879271711806,1.23890185974026,1.076577195604396,1.1516010204906206
200,178,0,9,0,0,388.737501699698,381.537192923672,374.64879271711806,1.23890185974026,1.076577195604396,1.1516010204906206
