run_id,day,replicate,path_index,realized_seed,realized_path_hash,static_distance,dddas_distance,static_tardiness,dddas_tardiness,static_J,dddas_J,static_on_time,dddas_on_time,static_max_tardiness,dddas_max_tardiness,delta_distance,delta_tardiness,delta_J,delta_max_tardiness,delta_on_time,episodes,recourse_attempts,route_changes,evaluated_candidates,operator_decisions,null_proposals,decision_cap_terminations,scenario_evaluations,dddas_wall_seconds
D02_R03_P009,2,3,9,8120009,c333a44c14147c13551765947e97afcbd6a88ed65a6e7cbcf06049f0ab16fa26,415.5000000000001,418.60000000000014,0.0,0.0,415.5000000000001,418.60000000000014,1.0,1.0,0.0,0.0,-3.1000000000000227,0.0,-3.1000000000000227,0.0,0.0,3,9,1,1000,127756,126756,5,100900,21.633158541982993
D02_R03_P010,2,3,10,8120010,8eb0516fccccf9345cff7009dc67716ba61e4ca96b543d9fc4d81c2d37eadb21,415.5000000000001,418.6000000000002,0.0,0.0,415.5000000000001,418.6000000000002,1.0,1.0,0.0,0.0,-3.1000000000000796,0.0,-3.1000000000000796,0.0,0.0,4,7,2,1250,54470,53220,2,125700,13.70019741600845
D02_R03_P011,2,3,11,8120011,b059eec811b126054a24425505c98919856e3b7ee1841e3a0c9c7e6961464445,415.5000000000001,415.5000000000001,0.0,0.0,415.5000000000001,415.5000000000001,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0.0005208749789744616
D02_R03_P012,2,3,12,8120012,efe5c2da9f201ded4bd14ca4cf3cf206dcd72d0f3c12d6aab2ca746f2688d1e8,415.50000000000006,415.5000000000001,0.0,0.0,415.50000000000006,415.5000000000001,1.0,1.0,0.0,0.0,-5.684341886080802e-14,0.0,-5.684341886080802e-14,0.0,0.0,4,5,1,1000,29712,28712,1,100500,7.237052833021153
D02_R03_P013,2,3,13,8120013,324fece089e812b825f604da8acc6c3244e1b6ea6cd922dcbc251efc547b5dbd,415.50000000000006,415.7000000000001,0.0,0.0,415.50000000000006,415.7000000000001,1.0,1.0,0.0,0.0,-0.20000000000004547,0.0,-0.20000000000004547,0.0,0.0,1,2,1,500,4131,3631,0,50200,2.2060163330170326
D02_R03_P014,2,3,14,8120014,0d6ea09962ee6a33acdd10932927b5b49e47047771db366e0c2277b2b9f3a490,415.5000000000001,415.70000000000005,0.0,0.0,415.5000000000001,415.70000000000005,1.0,1.0,0.0,0.0,-0.1999999999999318,0.0,-0.1999999999999318,0.0,0.0,1,1,1,250,2939,2689,0,25100,1.3320084590232
D02_R03_P015,2,3,15,8120015,0b4dccabd952755cdbf8cbd741364377dccf1455a4227ccc68c024b7d78c43f5,415.5000000000001,415.5000000000001,4.094056231242234,0.6251029032934525,423.6881124624846,416.750205806587,0.9682539682539683,0.9841269841269842,3.468953327948782,0.6251029032934525,0.0,3.468953327948782,6.937906655897564,2.8438504246553293,0.015873015873015928,2,3,1,500,27262,26762,1,50300,4.418833791976795
D02_R03_P016,2,3,16,8120016,57d446d9605a501eb541ca623ab01795110dc003e51065557a8e0b69b4027f07,415.5000000000001,415.5000000000001,2.8449403602995176,2.8449403602995176,421.18988072059915,421.18988072059915,0.9841269841269842,0.9841269841269842,2.8449403602995176,2.8449403602995176,0.0,0.0,0.0,0.0,0.0,1,2,1,500,2772,2272,0,50200,2.4584832910331897
D02_R03_P017,2,3,17,8120017,6d15efd29539274776e153f4e11729cb1b4b5848f9efa7f8d4b0411c00a90e1c,415.50000000000006,417.10000000000014,0.0,0.0,415.50000000000006,417.10000000000014,1.0,1.0,0.0,0.0,-1.6000000000000796,0.0,-1.6000000000000796,0.0,0.0,2,3,1,750,2813,2063,0,75300,3.524810000031721
D02_R03_P018,2,3,18,8120018,24bda18011f210be87ed360a74390b55ccd142e0bfefdc0edcef7716f9ecd709,415.5000000000001,415.5000000000001,0.0,0.0,415.5000000000001,415.5000000000001,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,0,250,26440,26190,1,25200,3.5937132079852745
D02_R03_P019,2,3,19,8120019,467bc5fe41fa38ec97e075ad761b09508b03aeefd6d04a67f701610410b42f04,415.5000000000001,415.5000000000001,0.0,0.0,415.5000000000001,415.5000000000001,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0,0,50000,50000,2,200,4.430179624992888
D02_R03_P020,2,3,20,8120020,5ca47eefefeac353706692f0ee0b20c610f680dd7434e09254ec81671215a898,415.5000000000001,415.5000000000001,0.0,0.0,415.5000000000001,415.5000000000001,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,0,0,50000,50000,2,200,3.7873086250037886
D05_R01_P001,5,1,1,8150001,92d675ee62955edf6155025e3af06604318922531116916039341543c3e00e8e,402.99999999999994,401.5999999999999,0.0,0.0,402.99999999999994,401.5999999999999,1.0,1.0,0.0,0.0,1.400000000000034,0.0,1.400000000000034,0.0,0.0,3,3,1,500,42503,42003,1,50300,10.936717792006675
D05_R01_P002,5,1,2,8150002,6bef4abe2198df4ae77400e7a8689b7201e9f0fd2fbd63dd37f4aaab69377864,402.99999999999994,403.69999999999993,0.0,0.0,402.99999999999994,403.69999999999993,1.0,1.0,0.0,0.0,-0.6999999999999886,0.0,-0.6999999999999886,0.0,0.0,2,2,1,250,25516,25266,1,25200,2.4561126669868827
D05_R01_P003,5,1,3,8150003,ec556f11807ce33613a8b7923b2a07bf18f37a729e9700125b1f11ea06a74f34,402.99999999999994,402.2999999999999,13.626342576751654,17.31032656308605,430.25268515350325,436.920653126172,0.9866666666666667,0.9866666666666667,13.626342576751654,17.31032656308605,0.7000000000000455,-3.683983986334397,-6.667967972668748,-3.683983986334397,0.0,5,6,2,1000,55359,54359,2,100600,13.758773458946962
D05_R01_P004,5,1,4,8150004,229c8b9891968103bd22dfa350f52b7f3cda8c2f7ea51951b3569dd517bae7ff,402.99999999999994,401.7999999999999,6.849010661823513,3.6523202774271795,416.69802132364697,409.10464055485426,0.9866666666666667,0.9866666666666667,6.849010661823513,3.6523202774271795,1.2000000000000455,3.1966903843963337,7.593380768792713,3.1966903843963337,0.0,6,9,2,1500,94583,93083,3,150900,17.898582249996252
D05_R01_P005,5,1,5,8150005,410c4cb565ccc6f46b8e193b56663350c5e79583b42566d33b5d5414721697ad,402.9999999999999,402.9999999999999,0.0,0.0,402.9999999999999,402.9999999999999,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,0,250,56044,55794,2,25300,6.101306041993666
D05_R01_P006,5,1,6,8150006,81ae6704ff04cae6e39aa050cfe05408fb487a026cd20d693246a190345b56ea,402.99999999999994,401.7999999999999,0.0,0.0,402.99999999999994,401.7999999999999,1.0,1.0,0.0,0.0,1.2000000000000455,0.0,1.2000000000000455,0.0,0.0,3,4,2,750,27896,27146,1,75400,7.616267999983393
D05_R01_P007,5,1,7,8150007,2a7602656079e49c0b47eb20de0517c387abc4832313ba1f24dde2841d85b73c,402.99999999999994,402.99999999999994,0.0,0.0,402.99999999999994,402.99999999999994,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0.0006887079798616469
D05_R01_P008,5,1,8,8150008,879529979155069adbdcbeb0797c91995b83fa53e3a97a29030fe0f740610e3e,402.99999999999994,403.69999999999993,0.0,0.0,402.99999999999994,403.69999999999993,1.0,1.0,0.0,0.0,-0.6999999999999886,0.0,-0.6999999999999886,0.0,0.0,2,7,1,750,106269,105519,4,75700,15.438759625016246
D05_R01_P009,5,1,9,8150009,e960e8d839f63ded7a4cf1888083df4ad8f64b4f9cbdad474a65113b4dcd1f69,402.9999999999999,402.9999999999999,0.0,0.0,402.9999999999999,402.9999999999999,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,0,500,2400,1900,0,50200,2.3893974169623107
