decision,evaluated,operator,q,null,accepted,current_score,best_score,candidate_score
280,241,1,11,0,0,379.2032008241233,373.78950151707056,384.15435394378926
281,242,2,11,0,0,379.2032008241233,373.78950151707056,396.10295736347183
282,243,0,12,0,0,379.2032008241233,373.78950151707056,393.5091002541945
283,244,0,11,0,0,379.2032008241233,373.78950151707056,392.0355255430309
284,245,2,10,0,0,379.2032008241233,373.78950151707056,386.07414168654077
285,245,1,10,1,0,379.2032008241233,373.78950151707056,
286,246,2,11,0,0,379.2032008241233,373.78950151707056,436.2139991114423
287,247,1,10,0,0,379.2032008241233,373.78950151707056,428.5287430493516
288,247,0,9,1,0,379.2032008241233,373.78950151707056,
289,248,1,9,0,0,379.2032008241233,373.78950151707056,439.1260100027726
290,248,0,9,1,0,379.2032008241233,373.78950151707056,
291,249,1,9,0,0,379.2032008241233,373.78950151707056,380.97540146981163
292,250,0,9,0,0,379.2032008241233,373.78950151707056,394.17886002803596
