scenario_id,eta_0p00__OR-Tools,eta_0p00__ALNS-Mean,eta_0p00__ALNS-CVaR,eta_0p35__OR-Tools,eta_0p35__ALNS-Mean,eta_0p35__ALNS-CVaR,eta_0p70__OR-Tools,eta_0p70__ALNS-Mean,eta_0p70__ALNS-CVaR
211,3.905074037902267,0.0,0.0,18.49286281553941,0.0,0.0,25.100136307235175,0.0,6.28719494866931
212,12.896925238531907,0.0,0.0,10.046419279938846,0.0,0.0,4.82075047402472,0.0,0.0
213,0.0,0.0,0.5755667107538329,77.06491179732916,77.06491179732916,0.0,12.332454330829137,5.6318525378124775,0.0
214,10.18737068833903,0.0,0.0,0.0,0.0,0.0,103.67161772623982,19.742463122447447,3.5104044613651695
215,4.621276650618739,3.4407517543588995,0.0,16.306059777829233,11.722244521356288,12.359062968828596,6.510359758306947,0.0,0.0
216,17.937147869795552,0.0,0.0,31.188231343892568,0.0,0.0,59.925890563423366,1.4024297089687252,0.0
217,8.694305432990177,0.0,0.0,13.36275295991041,0.1922549655770922,10.794798315591379,22.66722935974954,0.0,0.0
218,18.036302366124858,2.2097823773953564,2.3595275490343113,15.87911127910425,0.0,0.0,3.623449727702109,0.0,0.0
219,4.337182813889314,0.0,0.0,4.329986621190557,0.0,0.0,4.329986621190557,0.0,0.0
220,4.22822196205891,0.0,0.0,4.609766288163684,0.0,0.24115069896032537,16.98042088030371,0.0,0.0
221,8.72194687740415,0.0,0.8225052295584874,7.175500240254024,0.0,0.515073232981905,7.134907496819665,0.0,0.0
222,12.3915345779848,0.0,0.6846456753076495,5.300938905025049,0.0,0.0,5.115016155766597,0.0,0.0
223,9.50084899804392,0.0,0.0,8.95444535705596,0.0,0.0,8.95444535705596,0.0,0.0
224,2.1178417916690933,0.0,1.5168953256481927,0.37926543398276635,0.0,8.017117874402572,3.712307552480013,0.0,0.0
225,0.0,0.0,3.8078765069690235,0.0,0.0,0.0,15.431598976196256,1.5338304799648483,5.770849973206708
226,24.959704213268424,6.513020860943385,0.0,14.436633573456561,3.696462602172147,0.0,14.657282221996468,0.0,0.0
227,31.462564858101075,12.823814822060228,6.219210208552283,30.471515054682754,7.809960871326069,0.0,39.78095165945615,5.924635377705442,5.924635377705442
228,15.85429446016488,12.816417726604271,12.587192658718351,1.7168604311837612,0.0,0.0,4.902835462538064,0.42907573695919154,0.42907573695919154
229,5.764616258516185,0.0,0.33501538553917953,25.325408171614214,0.0,0.0,36.94327521688598,0.0,0.0
230,9.41595066753976,0.0,0.0,17.730117646027367,0.0,0.0,65.80830869562655,0.0,0.0
231,9.308406116802814,0.0,0.0,2.5154018090608474,0.0,0.0,10.726770153304358,0.0,0.0
232,18.560871335653218,0.0,0.0,20.411410391817753,9.437432032790127,1.2629239427577943,13.089404868476919,0.0,0.0
233,0.0,8.449253498111432,0.0,0.0,0.0,0.0,0.0,0.0,0.0
234,10.980515132576784,0.0,0.1896659551183575,5.6812595008007065,0.0,0.0,5.6812595008007065,0.0,0.0
235,6.5135039392151555,0.0,0.07863272013526057,8.244211563149406,3.064659659099334,5.820093994950071,1.4007265309451213,0.0,0.0
236,19.275184718056437,0.9069059692816666,0.0,37.27185216823452,0.3468454514582504,0.0,18.440895131577207,0.6358122073763184,0.6358122073763184
237,51.4311153772245,0.0,2.502112747006038,29.190723382624213,0.0,2.9776833697858365,38.87210703203007,0.0,0.0
238,9.398005482518727,3.940782087187131,5.81180400869718,27.422086304544933,12.70838088375774,0.054805921364675214,70.25611774492464,0.0,0.0
239,1.197168741310179,1.197168741310179,2.360024545548697,0.0,0.0,0.0,0.42067849679483516,2.93685468740523,2.93685468740523
240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02317268543777118,0.02317268543777118
241,7.502036591551189,0.0,0.059621485489742554,12.167566503476593,0.0,0.0,6.322549719013864,0.0,0.0
242,31.344804271462635,7.956920405101471,1.9719750212219083,23.4271673655621,0.5463381664905853,0.0,15.078028455904501,0.0,0.0
243,29.149499313786777,1.321327427537426,0.0,6.837801291797746,0.7441902233730104,0.0,6.092398746991449,0.0,0.0
244,26.88715614298289,0.2953564727680771,0.0,0.0,0.0,0.0,0.0,0.0,0.0
245,5.661852654095412,0.0,0.24111678045400708,7.685488921747236,0.0,5.175219417014262,21.995004690193582,0.0,6.870468895710616
246,73.27644988592547,0.0,7.344379348517805,29.051599682660026,0.0,1.2066107580811831,72.55428584586508,0.0,0.0
247,1.3234570935885017,0.8413863045975916,0.07473904695791589,0.0,0.0,0.0,0.0,0.4483979778771072,0.4483979778771072
248,20.446026173678547,0.0,0.09702043952353279,14.83484355162642,0.0,3.3268268348815297,15.905885913709056,0.0,0.0
249,4.898115217472338,2.9364473249994205,0.079006128787114,11.250444510313514,0.0,5.069552346150033,0.26775055294356775,0.0,0.0
250,14.407093119509398,2.6080946880668705,0.0,16.208581853866605,2.9062966303003464,7.53300663469571,13.514251174791099,0.0,0.0
251,10.695772767377349,0.0,2.7485719479848,15.068789161494948,0.7084158618710319,0.7084158618710319,1.1040572236524895,0.0,0.0
252,5.799768773631342,1.845487843162914,0.0,39.41531525098631,0.0,0.0,5.802505965352822,0.0,0.0
253,7.500321113306626,0.0,0.0,6.049319596647564,0.0,0.0,6.048730213438233,0.0,0.0
254,37.08498680689689,8.632048536766035,7.035902080500904,19.41938654844361,0.0,0.0,13.157598916880914,0.0,0.0
255,40.68501975022656,1.3678112781423408,0.04829030039542204,21.030135708494328,3.799344849708831,0.0,12.404878766437832,0.0,0.0
256,7.766353604568849,2.3044933395884755,1.8726293109366168,9.62532522833439,0.0,0.0,4.850123537482688,0.027218670640536402,0.027218670640536402
257,19.41348157384232,0.0,0.21673847309068606,24.34634667989468,0.0,0.0,43.564687793913464,5.679095504643726,0.0
258,12.753454638554473,0.0,0.0,15.9024784282999,0.0,0.0,12.584043552911169,0.0,0.0
259,17.297364171041863,5.44594878832595,2.300118457151342,26.68372250460061,5.066668086715964,0.0,12.753120124188797,0.0,0.0
260,6.3386658715566,0.0,1.9528163703051291,28.394830080091282,16.76424225264998,5.43451330106339,40.441599773660755,2.5977544680111464,9.883968089457369
261,10.13819039559101,0.0,2.1840157368887674,52.366229212365795,0.0,0.0,2.831158135855901,0.0,0.0
262,17.818535389299512,0.0,0.0,1.8696403385046096,0.0,0.0,58.50444351331831,0.21254997267413955,0.21254997267413955
263,2.6837157674075343,2.553648483255472,5.527646350163877,0.0,0.0,0.0,0.0,0.0,0.0
264,0.3699251812888349,0.3699251812888349,0.028806214884639303,1.7663360468947644,1.7663360468947644,0.9196920797066923,3.803042556598399,0.18137272728239395,15.556383814338545
265,0.0,0.0,0.2846793106631367,0.0,0.0,0.5419811532242136,5.631659619689003,2.924543983167837,2.924543983167837
266,6.448667755517079,0.0,6.895183109148377,2.6543412524615064,0.0,0.0,9.658996002443558,0.0,0.0
267,45.17768132678816,0.0,0.0,35.47956723909738,0.0,0.0,59.33671999806606,0.0,2.861310353984976
